"Time [s]","Committed size","Free size","Used size"
633.38,262144000,235715000,26429000
634.38,262144000,235715000,26429000
635.39,262144000,235715000,26429000
636.39,262144000,235715000,26429000
637.4,262144000,235715000,26429000
638.4,262144000,235715000,26429000
639.4,262144000,235715000,26429000
640.4,262144000,235715000,26429000
641.41,262144000,235715000,26429000
642.41,262144000,235715000,26429000
643.42,262144000,235715000,26429000
644.43,262144000,235715000,26429000
645.43,262144000,235715000,26429000
646.44,262144000,235715000,26429000
647.44,262144000,235715000,26429000
648.44,262144000,235715000,26429000
649.45,262144000,235715000,26429000
650.45,262144000,235715000,26429000
651.45,262144000,235715000,26429000
652.46,262144000,235715000,26429000
653.46,262144000,235715000,26429000
654.47,262144000,235715000,26429000
655.47,262144000,235715000,26429000
656.47,262144000,235715000,26429000
